Индекс,Тип региона,Регион,Город,Население
641430,обл,Курганская,Куртамыш,17098
156901,обл,Костромская,Волгореченск,17108
655750,Респ,Хакасия,Абаза,17111
618590,край,Пермский,Красновишерск,17129
433750,обл,Ульяновская,Барыш,17149
682970,край,Хабаровский,Бикин,17156
393360,обл,Тамбовская,Кирсанов,17240
612260,обл,Кировская,Яранск,17252
184650,обл,Мурманская,Полярный,17304
457020,обл,Челябинская,Пласт,17344
157200,обл,Костромская,Галич,17346
663980,край,Красноярский,Бородино,17423
143040,обл,Московская,Голицыно,17447
157300,обл,Костромская,Мантурово,17479
456110,обл,Челябинская,Катав-Ивановск,17640
397350,обл,Воронежская,Поворино,17692
601120,обл,Владимирская,Покров,17762
624590,обл,Свердловская,Ивдель,17764
152240,обл,Ярославская,Гаврилов-Ям,17792
641100,обл,Курганская,Шумиха,17821
403950,обл,Волгоградская,Новоаннинский,17911
347250,обл,Ростовская,Константиновск,17926
243400,обл,Брянская,Почеп,17933
241550,обл,Брянская,Сельцо,17933
624740,обл,Свердловская,Нижняя Салда,17969
361400,Респ,Кабардино-Балкарская,Чегем,17988
623900,обл,Свердловская,Туринск,17990
172730,обл,Тверская,Осташков,18073
658837,край,Алтайский,Яровое,18085
422000,Респ,Татарстан,Арск,18114
297600,Респ,Крым,Белогорск,18199
249720,обл,Калужская,Козельск,18203
600910,обл,Владимирская,Радужный,18212
242700,обл,Брянская,Жуковка,18269
623640,обл,Свердловская,Талица,18339
391110,обл,Рязанская,Рыбное,18378
143360,обл,Московская,Апрелевка,18467
665902,обл,Иркутская,Слюдянка,18542
433030,обл,Ульяновская,Инза,18547
673002,край,Забайкальский,Петровск-Забайкальский,18555
187780,обл,Ленинградская,Подпорожье,18729
446600,обл,Самарская,Нефтегорск,18732
663150,край,Красноярский,Енисейск,18769
363330,Респ,Северная Осетия - Алания,Ардон,18774
456940,обл,Челябинская,Куса,18792
184144,обл,Мурманская,Ковдор,18836
188760,обл,Ленинградская,Приозерск,18929
301430,обл,Тульская,Суворов,18975
243240,обл,Брянская,Стародуб,19010
617000,край,Пермский,Нытва,19041
361200,Респ,Кабардино-Балкарская,Терек,19170
186790,Респ,Карелия,Сортавала,19215
422230,Респ,Татарстан,Агрыз,19299
391160,обл,Рязанская,Новомичуринск,19309
187026,обл,Ленинградская,Никольское,19345
633520,обл,Новосибирская,Черепаново,19346
601201,обл,Владимирская,Собинка,19482
309640,обл,Белгородская,Новый Оскол,19530
601800,обл,Владимирская,Юрьев-Польский,19588
242500,обл,Брянская,Карачев,19715
397700,обл,Воронежская,Бобров,19738
676301,обл,Амурская,Шимановск,19815
671840,Респ,Бурятия,Кяхта,20013
397600,обл,Воронежская,Калач,20046
142455,обл,Московская,Электроугли,20120
142290,обл,Московская,Пущино,20263
188320,обл,Ленинградская,Коммунар,20265
347540,обл,Ростовская,Пролетарск,20267
618350,край,Пермский,Кизел,20277
628160,АО,Ханты-Мансийский Автономный округ - Югра,Белоярский,20283
422430,Респ,Татарстан,Буинск,20342
624070,обл,Свердловская,Среднеуральск,20357
629850,АО,Ямало-Ненецкий,Тарко-Сале,20372
404350,обл,Волгоградская,Котельниково,20441
676770,обл,Амурская,Райчихинск,20499
